word
a = ein/eine
and = und
of = von
the = der/die/das
in = in
to = zu/nach
an = an/einem/einer
are = sind
as = als/wie
can = können
else = sonst/noch
for = für
here = hier
is = ist
that = dass/jenes
there = dort
was = war
with = mit
you = du/Sie
your = dein/Ihr
all = alle
this = dies/das
about = über/von
am = bin
anything = irgendetwas
at = bei/um
do = tun/machen
from = von/aus
get = bekommen/erhalten
go = gehen/fahren
going = gehen/fahren
have = haben
i = ich
like = mögen/gerne haben
me = mich/mir
my = mein/meine
off = aus/offen
oh = oh
on = auf/an
or = oder
out = raus/auf/aus
road = Straße
some = einige/manche
special = besonders/spezial
time = Zeit
today = heute
use = nutzen/benutzen
want = wollen/möchten
water = Wasser
well = gut/wohl
were = waren
what = was
service = Service/Dienstleistung
seat = Sitzplatz
earth = Erde
air = Luft
dog = Hund
cares = kümmert sich
end = Ende
cat = Katze
sky = Himmel
things = Dinge/Sachen
low = niedrig
questions = Fragen
afternoon = Nachmittag
any = irgendwelche
appetizers = Vorspeisen
army = Armee
bill = Rechnung
book = Buch
card = Karte
cash = Bargeld
chair = Stuhl
damn = verdammt
day = Tag
did = tat
dishes = Geschirr
does = tut/macht
drink = Getränk
drinks = Getränke
drug = Droge
evening = Abend
experience = Erfahrung
find = finden
god = Gott
good = gut
happy = glücklich
help = helfen
hi = Hallo
hot = heiß
how = wie
insurance = Versicherung
item = Artikel/Gegenstand
kind = Art
looking = aussehend/schauend
meal = Mahlzeit
menu = Menü
much = viel
name = Name
need = brauchen
night = Nacht
no = nein/kein
nonsense = Unsinn
offer = Angebot
other = andere
parking = Parkplatz/Parken
pay = bezahlen/zahlen
pen = Stift
phone = Telefon
prices = Preise
product = Produkt
shopping = Einkaufen
soda = Limonade
start = Anfang/starten
traffic = Verkehr
try = versuchen/probieren
type = Typ/Art
up = oben/hoch
us = uns
where = wo
would = würde
bathroom = Badezimmer
movie = Film
tree = Baum
quiet = leise/ruhig
see = sehen
star = Stern
tired = müde
first = zuerst/erste
hard = hart/schwierig
healthy = gesund
loud = laut
machine = Maschine
place = Ort/Platz
bed = Bett
rich = reich
room = Zimmer
big = groß
driver = Fahrer/in
email = E-Mail
highway = Autobahn
moon = Mond
onion = Zwiebel
pharmacy = Apotheke
prescription = Rezept
sun = Sonne
pencil = Bleistift
young = jung
computer = Computer
short = kurz
television = Fernseher
hour = Stunde
items = Artikel/Gegenstände
worker = Arbeiter/in
class = Klasse
customer = Kunde/Kundin
house = Haus
matter = Angelegenheit
assist = helfen/unterstützen
asthma = Asthma
banks = Banken
brazil = Brasilien
bread = Brot
bring = bringen
call = Anruf
car = Auto
celebrating = feiern
cheese = Käse
coffee = Kaffee
cold = kalt
cooked = gekocht
cost = Kosten
data = Daten
enough = genug
everything = alles
eye = Auge
feedback = Rückmeldung
flat = Wohnung
flu = Grippe
form = Formular
free = frei/kostenlos
garlic = Knoblauch
goodbye = Tschüss/Auf Wiedersehen
infection = Infektion
leave = verlassen
list = Liste
loss = Verlust
medication = Medikament
more = mehr
morning = Morgen
music = Musik
new = neu
occasion = Gelegenheit/Anlass
old = alt
our = unser/e
over = über
own = eigene/r/s
please = bitte
prefer = bevorzugen
public transportation = öffentliche Verkehrsmittel
recommend = empfehlen
refill = Nachfüllen
restrictions = Beschränkungen
satisfaction = Zufriedenheit
side = Seite
sign = Schild/Zeichen
skin = Haut
speak = sprechen
specials = Angebote/Spezialitäten
stock = Bestand/Lager
symptoms = Symptome
taxi = Taxi
very = sehr
weight = Gewicht
who = wer
years = Jahre
available = verfügbar
gate = Tor
security = Sicherheit
slow = langsam
expensive = teuer
office = Büro
poor = arm
proceed = fortfahren
sad = traurig
delicious = lecker
bandage = Verband
bar = Bar
cheap = billig
ear = Ohr
final = endgültig
garage = Garage
gauze = Gazestoff
lot = Menge
pill = Pille
airport = Flughafen
heavy = schwer
products = Produkte
buy = kaufen
modern = modern
relax = entspannen
total = gesamt
aisle = Gang
clean = sauber
position = Position
strong = stark
table = Tisch
window = Fenster
tall = groß
acne = Akne
allergies = Allergien
antibiotic = Antibiotikum
baggage = Gepäck
birth = Geburt
box = Schachtel
control = Kontrolle
cool = kühl
cough = Husten
counter = Schalter
crazy = verrückt
date = Datum
dietary = Ernährungs-
digestive = Verdauungs-
dining = Essen
discounts = Rabatte
doing = tun
dressing = Dressing
dude = Kumpel
eat = essen
feel = fühlen
german = deutsch
hello = Hallo
high = hoch
history = Geschichte
insane = wahnsinnig
insurance = Versicherung
mailing = Postversand
man = Mann
money = Geld
museums = Museen
pain = Schmerz
pass = Pass
pedestrian = Fußgänger
pharmacist = Apotheker
philharmonic = Philharmonie
piece = Stück
problems = Probleme
reasonable = vernünftig
recommendations = Empfehlungen
salad = Salat
sinus = Nasennebenhöhle
small = klein
smoking = Rauchen
something = etwas
sore = wund
sorry = Entschuldigung
split = teilen
steak = Steak
tablet = Tablette
throat = Hals
wall = Wand
watches = Uhren
world = Welt
check = überprüfen
needs = Bedürfnisse
boring = langweilig
currently = momentan
desk = Schreibtisch
flight = Flug
confirmation = Bestätigung
counters = Schalter
thin = dünn
weak = schwach
adhesive tape = Klebeband
angry = wütend
antidepressant = Antidepressivum
beverage = Getränk
capsule = Kapsel
cream = Creme
expressway = Autobahn
fill = füllen
metro = U-Bahn
passport = Reisepass
purchase = Kauf
receipt = Quittung
return = zurückkehren
syrup = Sirup
dirty = schmutzig
hairstyle = Frisur
id = Ausweis
purpose = Zweck
ugly = hässlich
beer = Bier
mild = mild
airline = Fluggesellschaft
analgesic = Schmerzmittel
antacid = Antazidum
antihistamine = Antihistaminikum
appetizer = Vorspeise
architecture = Architektur
arthritis = Arthritis
athlete = Athlet
awesome = großartig
bags = Taschen
blood = Blut
board = Board
boarding = Boarding
border = Grenze
bridge = Brücke
bus = Bus
cab = Taxi
cancellation = Stornierung
carry = tragen
charity = Wohltätigkeit
chocolate = Schokolade
cholesterol = Cholesterin
chronic = chronisch
city = Stadt
cocktail = Cocktail
come = kommen
connecting = verbindend
conservative = konservativ
constipation = Verstopfung
country = Land
coupons = Gutscheine
credit = Kredit
culture = Kultur
debit = Lastschrift
delay = Verspätung
depression = Depression
design = Design
dessert = Dessert
desserts = Desserts
diabetes = Diabetes
diarrhea = Durchfall
donate = spenden
drops = Tropfen
effects = Effekte
elsewhere = anderswo
entree = Hauptspeise
family = Familie
fashion = Mode
fasten = fasten
foot = Fuß
franc = Franken
friend = Freund
galleries = Galerien
gardens = Gärten
government = Regierung
groceries = Lebensmittel
heartburn = Sodbrennen
hipster = Hipster
inhaler = Inhalator
injection = Injektion
insomnia = Schlaflosigkeit
insulin = Insulin
last = letzte
long = lang
lunch = Mittagessen
meet = treffen
menopause = Menopause
nail = Nagel
natural = natürlich
