word
hello: 40
goodbye: 30
thank: 60
you: 5
you're: 20
welcome: 50
excuse: 70
me: 10
sorry: 40
nice: 70
to: 2
meet: 50
please: 30
good: 20
morning: 30
evening: 20
afternoon: 20
have: 10
a: 1
trip: 50
day: 20
night: 20
hi: 20
i: 10
appreciate: 60
it's: 10
no: 20
problem: 50
how: 20
are: 5
going: 10
what: 10
up: 20
very: 30
pardon: 80
thanks: 50
my: 10
name: 20
is: 5
victor: 80
am: 10
data: 30
analyst: 80
from: 10
brazil: 30
years: 30
old: 30
don't: 20
speak: 30
german: 40
do: 10
English: 30
can: 5
repeat: 50
that: 5
need: 20
help: 20
assistance: 60
call: 30
the: 1
police: 50
ambulance: 60
where: 20
restroom: 50
there: 5
here: 5
use: 10
time: 10
much: 20
does: 20
cost: 30
owe: 50
credit: 50
card: 20
debit: 50
more: 30
enough: 30
find: 20
specific: 50
product: 20
any: 20
coupons: 50
or: 10
discounts: 40
would: 20
like: 10
try: 20
our: 30
new: 30
carry: 50
your: 5
bags: 50
did: 20
everything: 30
were: 10
looking: 20
for: 5
sign: 30
mailing: 40
list: 30
want: 10
donate: 50
charity: 50
own: 30
some: 10
raincheck: 60
an: 5
out: 10
of: 1
stock: 30
item: 20
prices: 20
reasonable: 40
leave: 30
feedback: 30
assist: 30
with: 5
anything: 10
else: 5
pay: 20
cash: 20
was: 5
shopping: 20
experience: 20
us: 20
today: 10
car: 30
groceries: 50
dietary: 40
restrictions: 30
allergies: 40
recommend: 30
menu: 20
split: 40
bill: 20
steak: 40
cooked: 30
satisfaction: 30
get: 10
bread: 30
rolls: 50
go: 10
box: 40
side: 30
dishes: 20
meal: 20
drink: 20
celebrating: 30
special: 10
occasion: 30
offer: 20
desserts: 50
coffee: 30
type: 20
dressing: 40
on: 10
salad: 40
specials: 30
bring: 30
start: 20
off: 10
dining: 40
signature: 50
cocktail: 50
prefer: 30
rocks: 50
straight: 50
appetizers: 20
drinks: 20
cab: 50
uber: 50
water: 10
soda: 20
as: 5
well: 10
kind: 20
music: 30
recommendations: 40
refill: 30
happy: 20
hour: 28
snacks: 61
available: 31
now: 52
tab: 70
beer: 47
flight: 43
wine: 59
promotions: 86
currently: 43
at: 10
bar: 35
buy: 37
cigarettes: 75
tobacco: 80
products: 36
brand: 59
preferences: 63
total: 37
purchase: 45
gum: 65
mints: 75
snack: 56
beverage: 45
questions: 19
about: 9
phone: 20
cards: 53
prepaid: 67
other: 20
items: 28
rewards: 73
program: 58
